MUNICIPIO,CULTIVO,PERIODO,Area Sembrada (ha),Area Cosechada (ha),Produccion (t)
almeida,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
aquitania,papa,2015a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
arcabuco,papa,2015a,[930.69995-1240.6],[560.63995-840.55994],[12000.4-18000.352]
belen,papa,2015a,[930.69995-1240.6],[840.55994-1120.48],[12000.4-18000.352]
beteitiva,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
boyaca,papa,2015a,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
buenavista,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
busbanza,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cerinza,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chinavita,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2015a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
chiscas,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chita,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cienega,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
combita,papa,2015a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
corrales,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cucaita,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cucaita,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cucaita,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
firavitoba,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
firavitoba,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
floresta,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gameza,papa,2015a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
garagoa,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guacamayas,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
iza,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jenesano,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jerico,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongua,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongui,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2015a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
motavita,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nobsa,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2015a,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
oicata,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pachavita,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paipa,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paipa,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pajarito,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
panqueba,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paz-de-rio,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paz-de-rio,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
raquira,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
rondon,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2015a,[1240.6-1550.5],[0.8-280.71997],[24000.3-30000.25]
samaca,papa,2015a,[310.9-620.8],[560.63995-840.55994],[12000.4-18000.352]
san-miguel-de-sema,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-sofia,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativanorte,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativasur,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2015a,[2170.3-2480.2],[0.8-280.71997],[18000.352-24000.3]
soata,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socha,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2015a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
somondoco,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2015a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
sotaquira,papa,2015a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
susacon,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sutamarchan,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tasco,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibasosa,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tipacoque,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2015a,[930.69995-1240.6],[0.8-280.71997],[6000.45-12000.4]
topaga,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tota,papa,2015a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
tunja,papa,2015a,[620.8-930.69995],[840.55994-1120.48],[12000.4-18000.352]
tunja,papa,2015a,[2480.2-2790.0999],[0.8-280.71997],[48000.098-54000.047]
turmeque,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tuta,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2015a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
tutaza,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2015a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
tutaza,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
umbita,papa,2015a,[310.9-620.8],[560.63995-840.55994],[6000.45-12000.4]
ventaquemada,papa,2015a,[1550.5-1860.4],[0.8-280.71997],[36000.2-42000.15]
villa-de-leyva,papa,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa,2015a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
almeida,papa-criolla,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa-criolla,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa-criolla,2015a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
